"Año";"Periodo";"% de internautas"
"2009";"Año";"51"
"2010";"Año";"70"
"2011";"Año";"75"
"2012";"Año";"79"
"2013";"Año";"79"
"2014";"Año";"82"
"2016";"Año";"81"
"2017";"Año";"86"
"2018";"Año";"85"
"2019";"Año";"85"
;;
;;
"Métrica":"% de internautas"
"Fuente":"iab / Adglow / Elogia"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/porcentaje-internautas-usan-redes-sociales-espana/7350f137-e615-4c5c-b017-936ec3cc0fbc"
"Titulo":"Porcentaje de internautas que usan redes sociales en España"
"Subtitulo":""
