"Año";"Periodo";"Suicidios por cada 1000 muertes"
"1980";"Año";"5,71"
"1981";"Año";"5,86"
"1982";"Año";"6,46"
"1983";"Año";"7,21"
"1984";"Año";"8,33"
"1985";"Año";"8,04"
"1986";"Año";"8,88"
"1987";"Año";"9,04"
"1988";"Año";"9,27"
"1989";"Año";"9,2"
"1990";"Año";"8,82"
"1991";"Año";"8,64"
"1992";"Año";"8,4"
"1993";"Año";"8,94"
"1994";"Año";"9,37"
"1995";"Año";"9,12"
"1996";"Año";"9,45"
"1997";"Año";"9,65"
"1998";"Año";"9,05"
"1999";"Año";"8,67"
"2000";"Año";"9,41"
"2001";"Año";"8,86"
"2002";"Año";"9,14"
"2003";"Año";"9,04"
"2004";"Año";"9,43"
"2005";"Año";"8,77"
"2006";"Año";"8,74"
"2007";"Año";"8,47"
"2008";"Año";"8,95"
"2009";"Año";"8,91"
"2010";"Año";"8,27"
"2011";"Año";"8,2"
"2012";"Año";"8,78"
"2013";"Año";"9,91"
"2014";"Año";"9,88"
"2015";"Año";"8,52"
"2016";"Año";"8,69"
"2017";"Año";"8,67"
"2018";"Año";"8,27"
"2019";"Año";"8,77"
"2020";"Año";"7,98"
"2021";"Año";"8,46"
;;
;;
"Métrica":"Suicidios por cada 1000 muertes"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/tasa-suicidios-cada-mil-muertes-espana/ce10f335-07c9-4007-a218-91dc613f059b"
"Titulo":"Tasa de suicidios por cada mil muertes en España"
"Subtitulo":""
