"Año";"Periodo";"Total"
"2012";"Año";"7.131"
"2013";"Año";"12.404"
"2014";"Año";"28.707"
"2015";"Año";"26.879"
"2016";"Año";"25.094"
"2017";"Año";"25.857"
"2018";"Año";"32.516"
"2019";"Año";"33.188"
"2020";"Año";"34.827"
"2021";"Año";"37.611"
;;
;;
"Métrica":"Total"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Psicólogos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-numero-psicologos-espana/8a894136-0b07-4194-a1d4-c11eea309d53"
"Titulo":"Evolución del número de psicólogos en España"
"Subtitulo":""
